name,region,variety,rating,notes
Ca'Viola Barolo Sottocastello di Novello 2010,"Barolo, Piedmont, Italy",Red Wine,94.0,"This Barolo is a rather rich ruby red with orange reflections. The nose expressesbalsamic and spice characteristics with clear hints of forest floor and menthol andethereal touches of chocolate and tobacco. Elegant and silky in the mouth with arich, dense structure that persists to the long, harmonious finish."
Chateau Clos L'Eglise Cotes de Castillon 2003,"Cotes de Castillon, Bordeaux, France",Red Wine,88.0,"Dark garnet-red color. The nose is well-focused, concentrated, and marked by ripe, almost jammy black fruit aromas as well as plum and cherry. The wine's very appearance – especially the rich, deeply-colored legs on the side of the glass – are typical of a sunny vintage. Imposing on the palate with a firm structure thanks to solid, youthful tannin. The long aftertaste has hints of smokiness and juicy black fruit. 2003 Clos l'Eglise absolutely needs to be decanted at least one hour before serving at this stage to soften it and to let it open up. Furthermore, the wine gains from being served at cellar temperature to avoid the impression of a slight excess in alcohol. You can drink this wine from a very ripe vintage as of now, but it will benefit from 3-5 years further ageing. It is a treat with lamb, grilled beef, and game. "
Brancott Sauvignon Blanc 2006,"Marlborough, New Zealand",White Wine,87.0,"Now considered the benchmark of New Zealand varietal Sauvignon Blanc, this wine is a blend of fruit from across Montana's leading estates in Marlborough. It is crafted in a style that epitomizes the character and flavor of the Marlborough region. "
Barossa Valley Estate Shiraz 2015,"Barossa Valley, Barossa, South Australia, Australia",Red Wine,90.0,Alluring exotic spice with vibrant flavors of red plum and fresh blackberry.
Castello del Terriccio Tassinaia 2006,"Tuscany, Italy",Red Wine,90.0,"Deep, vibrant, strawberry-red color. The nose has layers of cassis and raspberry, followed by notes of tobacco. The pleasant acidity of the Sangiovese, combined with a firm tannic structure of the Cabernet and richness of the Merlot, create a well-balanced, elegant and intense wine, with good aging potential."
Joseph Drouhin Meursault Perrieres Premier Cru 2015,"Meursault, Cote de Beaune, Cote d'Or, Burgundy, France",White Wine,92.0,"A complex and generous wine, with a rare elegance. The color is extraordinarily luminous. On the nose, a palette of interesting and varied aromas: syrup, grilled almond, preserved fruit. In the mouth, a silky and ample texture which does not exclude freshness or lightness. Long on the palate, with flavors recalling grilled bread and fruit jam. Always a consummate example of a white Burgundy, this wine is perfection!"
Camigliano Brunello di Montalcino (375ML half-bottle) 2015,"Montalcino, Tuscany, Italy",Red Wine,93.0,"The elegance and harmonic body of the wine permit its combination with many complex and complicated dishes such as red meat, feathered and furry game also accompanied by mushrooms or truffles. Brunello, in addition, is excellent with cheeses: aged tomes, parmesan, Tuscan pecorino. It also makes an excellent combination with meat dishes of international cuisine or with complicated sauces. Because of its characteristics, Brunello is also a pleasant meditation wine."
Caiarossa Pergolaia 2011,"Tuscany, Italy",Red Wine,92.0,"Following the Tuscan tradition, Sangiovese dominates in this blend, shaping Pergolaia into a wine of intense bouquet, seductive body with soft tannins and superb depth."
Artesa Carneros Chardonnay 1998,"Carneros, California",White Wine,90.0,"Complex ripe apple, pear nectar and butterscotch aromas and a touch of nutmeg fill the rich, seductive nose of this Chardonnay. The wine delivers luxurious textures and a host of flavors to the palate, including sweet ripe pear, lemon and apple butter, that persist throughout a long, well-balanced finish."
Cedar + Salmon Willamette Valley Pinot Noir 2016,"Willamette Valley, Oregon",Red Wine,91.0,"Brimming with fresh blackberry and plum aromas, the Willamette Valley Pinot Noir gains earth and herb nuances with time. Ripe red plums and red cherries dominate the smooth palate, accented by a dash of herbs."
Domaine Auvigue Pouilly-Fuisse Solutre 2013,"Pouilly-Fuisse, Maconnais, Burgundy, France",White Wine,90.0,"The limestone soil of Solutre produces lively, mineral wines with aromas of white flowers and hazelnuts. A rich, round wine."
DeLoach O.F.S. Pinot Noir 2015,"Russian River, Sonoma County, California",Red Wine,90.0,"The quintessential Russian River Pinot Noir, the 2015 O.F.S. Pinot Noir opens with notes of pomegranate and orange zest with star anise. Mouthwatering flavors of cranberry, blueberry, and black currant are accented with a touch of baker's chocolate leading to a clean finish. Medium bodied with bright acidity. "
Beringer Knights Valley Reserve Cabernet Sauvignon 2013,"Knights Valley, Sonoma County, California",Red Wine,91.0,"The Beringer winemaking team has worked the Knights Valley vineyards for two decades, watching the vineyards evolve and noting which blocks and rows are particularly unique. Using fruit from those prized blocks, Mark Beringer has crafted the Knights Valley Reserve Cabernet, which provides the purest and most layered expression of the unique terroir found in Knights Valley."
Domaine de la Fouquette Cotes de Provence Rose 2015,"Cotes de Provence, Provence, South of France, France",Pink and Rosé,92.0,"The color is a clear, lychee pink. The nose is fruity and intense, with pleasant and complex aromas and flavors of tangerine and forest fruits."
Bryant Family Bettina Proprietary Red 2009,"Napa Valley, California",Red Wine,95.0,"The Bettina Bryant Proprietary Red Wine is a gorgeous blend of Bordeaux varietals sourced from three of David Abreu's own exceptional estate vineyards – Madrona, Thorevilos, and Lucia Howell Mountain.  A blend of Cabernet Sauvignon, Cabernet Franc, Merlot, and Petit Verdot, and made with the same attention to detail as Bryant, this wine is beautifully layered and complex."
Chateau Saint Roch Vieilles Vignes Blanc 2014,"Maury, Roussillon, South of France, France",White Wine,90.0,"A blend of Grenache Blanc and Marsanne grown on gravelly limestone clay soils near the village of Maury, the Vieilles Vignes de Saint-Roch Blanc is fermented in tank and largely aged in concrete with a small portion of the cuvée aged in French oak demi-muids."
Badia a Coltibuono Vin Santo (375ML half-bottle) 2009,"Tuscany, Italy",Green Wine,94.0,Delicious as an apertif or with typical Tuscan desserts. Excellent with blue cheeses or liver pate.
Browne Family Vineyards Malbec 2015,"Columbia Valley, Washington",Red Wine,90.0,"Very dark purple in color, this wine has aromas of currants, black plum, and fresh tobacco. Medium bodied with silky tannins and flavors of milk chocolate and blackberry with mocha and pomegranate on the finish. The wine is approachable and very drinkable now, but will mature beautifully for years to come."
Amisfield Sauvignon Blanc 2016,"Central Otago, New Zealand",White Wine,90.0,"Uniquely Central Otago. Lively aromatics with fresh vibrant passionfruit and pink grapefruit notes, underpinned by refined minerality."
Bodega Noemia de Patagonia A Lisa Malbec 2016,"Patagonia, Argentina",Red Wine,89.0,"Dense violet and plum. Dark berries, cherry and cocoa on the nose. Excellent structure with fruit notes of cherry and cassis; medium-bodied with balanced, persistent tannins. "
Chateau Canon 2014,"St. Emilion, Bordeaux, France",Red Wine,94.0,"Chateau Canon offers floral and fresh fruit aromas. This unctuous, well-balanced wine goes the full length."
Etude Napa Valley Cabernet Sauvignon 2009,"Napa Valley, California",Red Wine,92.0,"This Napa Valley Cabernet Sauvignon is dense and round, opening with generous aromas of dark berry and cherry leading to layers of black licorice and graphite notes on the nose-- true umami in complexity.  The palate shows a depth and richness of fruit flavors ranging from blackberry, boysenberry and cassis.  The concentrated fruit is wrapped in powdery tannins creating an ideally balanced wine with a vibrancy that makes it a wine worthy of aging."
Creta Roble 2006,"Ribera del Duero, Spain",Red Wine,90.0,"An Eric Solomon joint venture with Isaac Fernandez. Tank fermented 100% Tempranillo that has been aged in older American and French oak. Picked from a 70 year old vineyard located 2,700 ft. in elevation. ""Creta"" means ""Chalk"" which is an important mineral component found in the top vineyards of the Ribera del Duero. "
Gordon Brothers Merlot 2005,"Columbia Valley, Washington",Red Wine,91.0,"Blend: 92% Merlot, 5% Cabernet Sauvignon, 3% Malbec "
Goldeneye Anderson Valley Pinot Noir (1.5 Liter Magnum) 2012,"North Coast, California",Red Wine,92.0,"The exceptional 2012 vintage yielded a rich, robust Anderson Valley Pinot Noir with a delightful blend of sweet and savory elements. On the palate, beautifully delineated layers of freshly tilled earth, leather, lavender and pennyroyal are balanced by flavors of sweet Bing cherry, Japanese plum and black currant notes. The mouth feel is round and plump, gliding to a long, satisfying finish marked by lingering notes of chocolaty French oak."
Heitz Cellar Trailside Vineyard Cabernet Sauvignon 2013,"Rutherford, Napa Valley, California",Red Wine,91.0,"The silky tannins and tightly wound core of this wine are hallmark signs of this vintage’s aging potential. Blackberry, ripe raspberry, cassis liqueur, and  briar notes fill the glass and are complemented by an earthy sweetness that Trailside has become synonymous with. Fresh vanilla, toasted nuts, and baking spice characteristics from the Limousin oak give an elegant lift to the ripe fruit notes."
Billaud-Simon Chablis Les Preuses Grand Cru 2015,"Chablis, Burgundy, France",White Wine,90.0,"Light yellow with a golden core. The nose is rich yet delicate and dominated by mineral, creamy, floral, honeyed notes and dried fruits. The attack is precise followed by a powerful and distinctive mid-palate that reveals its clay-limestone terroir. Citrus notes blend with mineral and iodised flavors in this remarkable wine from an exceptional terroir. "
Alejandro Bulgheroni Lithology Beckstoffer Dr. Crane Vineyard Cabernet Sauvignon 2017,"Napa Valley, California",Red Wine,94.0,Alejandro Bulgheroni Estate Lithology is a series of single vineyard and AVA-designated wines made from select sites within Napa Valley. The Dr. Crane vineyard sits at the base of the western hills of St. Helena. A windows into showcasing one of the grapes that gave birth to Cabernet Sauvignon from one of the California's most legendary vineyard plots of earth. 
Bodegas Montecillo Gran Reserva 1998,"Rioja, Spain",Red Wine,91.0,"The very limited production of this wine begins with the careful selection of the best grapes from years in which the harvest is considered to be exceptional. After a lengthy maturation period in oak barrels, and a further prolonged ageing and refining process in the bottle, the resulting wine is a brilliant and intense ruby red with brick-red highlights, polished and elegant, and showing all the personality of a great Rioja wine."
Branson Coach House Coach House Block Shiraz 2003,"Barossa Valley, Barossa, South Australia, Australia",Red Wine,96.0,"This single-vineyard bottling from the makers of Two Hands is a huge wine that doesn't feel as big as it is, glowing at the center with blueberry, purple plum and currant fruit, shaded on the edges with sweet spices, sage and a touch of creamy oak, all of it expanding on the finish against ultrafine tannins. The aftertaste lingers for days. Best from 2007 through 2020. 750 cases made."
Domaine Xavier et Agnes Amirault St-Nicolas-de-Bourgueil Les Gravilices 2015,"Chinon, Touraine, Loire, France",Red Wine,91.0,It releases the full extent of its candied cherry and prune notes 1 to 3 hours after being opened or decanted. It develops roundness and then a rapturous flavor which fades away gently on the palate sustaining the character of the body.
Charles Krug Family Reserve Chardonnay 2003,"Carneros, California",White Wine,90.0,"This wine is full of apple, pear and citrus notes with a honey, spice and hazelnut mouthfeel. To accomplish this, unique vineyard blocks were barrel fermented in French Burgundian oak barrels. At only 30% Malolactic fermentation and complemented with five months of barrel aging, our masterpiece remains fresh and crisp on the palate. "
Dom Perignon Limited Edition Gift Box by Tokujin Yoshioka 2009,"Champagne, France",Sparkling & Champagne,96.0,"Celebrating the solar decade, this limited edition by Japanese artist Tokujin Yoshioka reflects the characters of the Vintage 2009. His works, which transcend the boundaries of product design, architecture, and exhibition installation, are highly evaluated also as art. His works are displayed as part of permanent collections in such highly reputed museums as MoMA in NYC, Centre Georges Pompidou in Paris, Victoria and Albert Museum in London, Cooper Hewitt National Design Museum in NYC and Vitra Design Museum in Weil am Rhein. Tokujin Yoshioka was named one of the “100 most respected Japanese by the world,"" by the Japanese edition of Newsweek and one of ""The 100 Most Creative People in Business 2010"" by Fast Company magazine in the USA."
Jean-Claude Boisset Pinot Noir Les Ursulines 2016,"Burgundy, France",Red Wine,90.0,"This wine has the noblest pedigree imaginable, coming as it does from the Côte de Nuits. The grapes were grown on old vines on which specified growing techniques were used: controlled yields due to severe disbudding, cluster thinning if necessary, working of the soil, little or no use of fertilisers, environmentally friendly pest management that respects beneficial wildlife. "
Carol Shelton Karma Zinfandel 2010,California,Red Wine,90.0,"Very complexly layered spice and black fruits, lively! Dark chocolate, Creamy oak, a bit of vanilla cola, brown spices like nutmeg and cinnamon. Rich in mouth, good structure for aging, a bit chewy in its youth."
Gradis'ciutta Ribolla Gialla 2016,"Colli Orientali del Friuli, Friuli-Venezia Giulia, Italy",White Wine,90.0,"Clear straw yellow. An unmistakable and pleasing bouquet, with textbook varietal perfumes of citrus fruit, alluring apples, and a note of cream.The palate offers a fragrant beginning, with a succession of corresponding flavors that in the finish leave room for an elegant reminiscence of apple."
Chateau Malescot St. Exupery (6-Pack OWC Futures Pre-Sale) 2018,"Margaux, Bordeaux, France",Red Wine,94.0,"Blend: 50% Cabernet Sauvignon, 35% Merlot, 10% Cabernet Franc and 5% Petit Verdot"
Chateau Chauvin 2005,"St. Emilion, Bordeaux, France",Red Wine,92.0,"The grapes are picked at the optimal ripeness level: harvesting is carried out by hand and the grapes are placed in trays to be transported back to the winery. At Chauvin, the wine is made in the traditional way, while also making the most of what modernity has to offer: nothing is done systematically and each year every effort is focused on adapting the techniques used to the qualities of that year's grapes."
Folie a Deux Dry Creek Zinfandel 2009,"Dry Creek Valley, Sonoma County, California",Red Wine,88.0,"Intense, juicy and jammy, our classic Zinfandel's bright raspberry and blackberry fruit is complemented by the characteristic black pepper spice tones that give the varietal its invigorating zestiness."
Kendall-Jackson Avant Chardonnay 2016,California,White Wine,89.0,"This refreshing K-J AVANT Chardonnay erupts with captivating layers of pineapple, bright green apple, fresh Meyer lemon, juicy pear, and wildflowers. It shows refreshing acidity and sleek mineral notes which are balanced by a rounded mid-palate and a long, pure fruit finish."
Diamond Creek Red Rock Terrace Cabernet Sauvignon 1998,"Napa Valley, California",Red Wine,94.0,"Wonderful depth, richness and purity of flavor to this young Red Rock, with juicy black cherry, currant, wild berry, plum, cedar, mineral and light toasty oak nuances. Tight and concentrated, it's a superb wine, rich and long on the finish. Best from 2004 through 2018. 600 cases made. 94 Points"
Bibi Graetz Casamatta Rosso 2010,"Tuscany, Italy",Red Wine,88.0,"Shows the earthy side of Sangiovese, with loam, iron, cherry and plum flavors. A juicy wine, with upfront fruit and light tannins."
Domaine de la Romanee-Conti Richebourg Grand Cru 2005,"Burgundy, France",Red Wine,95.0,"A great deal of volume and presence on the nose. In the mouth, it is perhaps the fleshiest of all, and the one already showing the greatest balance. This is a fine example of a great terroir that acts as a filter to receive and to master the force of the sun."
